player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
C.J. Fiedorowicz,8700,TE,HST,17,56.5,1,13,78.5,78.9,63.7,0,1,51,13.6,14.3,99.0,3,1,0,444,0,0,0,786,57,399,0,1,387,557
Brock Osweiler,7059,QB,HST,17,39.5,0,13,51.7,,60.2,0,0,0,0.0,0.0,,4,0,0,441,0,0,0,1117,0,659,0,0,441,0
Nick Mangold,2974,C,NYJ,8,100.0,0,22,66.7,74.7,60.6,1,4,270,100.0,100.0,99.1,0,5,0,433,433,0,0,433,285,285,0,0,148,0
Gary Barnidge,4455,TE,CLV,16,44.6,0,8,68.6,79.4,57.9,1,1,120,19.1,19.5,98.3,0,3,1,432,0,0,6,969,130,667,0,6,302,703
Kyle Long,7801,G,CHI,8,100.0,0,6,76.3,81.8,68.1,1,9,271,100.0,100.0,98.2,1,10,0,431,0,0,0,431,287,287,431,0,144,0
Charles Clay,6326,TE,BUF,15,49.2,2,4,68.2,70.2,72.8,0,4,64,13.3,13.3,96.9,3,4,0,429,0,0,48,872,68,511,0,17,361,624
Dion Sims,7888,TE,MIA,15,55.5,0,17,60.8,58.5,62.4,4,3,110,25.2,25.5,95.0,3,9,2,425,0,0,6,766,117,458,0,4,308,630
Joe Reitz,4789,T,IND,12,100.0,0,14,55.6,53.3,64.7,5,32,266,100.0,100.0,91.2,5,42,5,424,0,0,15,424,287,287,4,397,137,7
Halapoulivaati Vaitai,10798,T,PHI,7,100.0,0,24,68.8,65.6,68.3,3,10,234,100.0,100.0,95.5,1,17,4,421,0,0,3,421,250,250,0,413,171,5
Ben Roethlisberger,1732,QB,PIT,17,37.7,0,25,80.3,,60.0,0,0,0,0.0,0.0,,2,0,0,420,0,0,0,1113,0,675,0,0,420,0
