player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Marcus Peters,9451,CB,LV,12,8,0,70.0,0,0,23,0,0,71.3,68.8,86.8,,50.7,30.0,0,0,1,1,72,21.8,12,4,3,101.7,35,0,0,53,640,426,732,27,0,0,27,0,4,705,0,306,8,10,35,1,50,0,3,356,163,10.2
Bud Dupree,9455,ED,ATL,16,14,1,100.0,1,2,2,0,0,48.6,56.0,77.5,51.3,65.4,35.8,2,28,0,0,11,24.4,10,0,1,112.5,1,8,0,0,0,19,725,722,0,1,719,2,0,3,433,273,3,16,17,4,1,38,0,11,17,11.0
Shaq Thompson,9458,LB,CAR,2,3,0,100.0,0,0,5,0,0,59.9,65.3,75.2,64.3,65.8,43.2,0,0,0,0,14,10.0,1,0,0,80.0,5,0,0,65,0,30,68,0,0,0,0,0,0,68,3,35,3,3,6,0,5,0,0,16,25,3.2
Mario Edwards Jr.,9468,DI,SEA,15,3,1,,1,1,29,0,0,60.0,68.0,20.5,78.4,59.8,46.6,5,15,0,0,,19.0,4,0,4,0.0,0,2,0,0,0,0,393,393,34,263,14,82,0,0,225,168,0,13,14,4,0,22,0,0,0,
Preston Smith,9471,ED,GB,19,12,2,60.0,1,2,12,0,0,54.8,70.5,68.8,66.2,72.4,59.6,14,27,0,0,21,17.0,9,2,2,81.7,6,11,0,8,0,50,838,822,0,3,816,3,0,16,492,296,8,34,32,1,10,52,0,71,54,11.8
Eric Kendricks,9478,LB,LAC,15,27,1,78.1,0,1,27,0,0,62.1,72.3,85.9,82.5,73.6,83.4,3,9,0,0,41,6.0,7,5,1,101.2,50,4,0,729,4,465,847,32,0,0,32,0,1,815,60,322,81,39,82,4,64,16,0,530,340,10.6
Eric Rowe,9480,S,PIT,4,4,0,68.8,0,1,25,0,0,61.8,64.9,80.6,52.6,71.7,58.4,0,1,0,1,29,7.9,3,2,0,71.7,22,0,0,61,9,144,212,3,0,0,3,0,85,209,4,64,54,5,31,1,32,1,0,195,92,8.9
Denzel Perryman,9481,LB,HST,14,32,0,76.7,1,0,13,0,0,38.4,56.4,23.4,68.6,77.9,49.9,1,6,0,0,64,14.7,15,3,4,124.1,33,1,0,602,1,328,633,5,0,0,5,0,1,628,25,280,24,34,55,6,43,8,2,439,218,13.3
Ronald Darby,9483,CB,BLT,13,2,0,51.7,0,1,3,0,0,72.9,70.8,51.1,57.7,56.0,61.2,0,0,0,0,26,11.1,4,5,1,75.2,31,0,0,26,514,385,554,0,0,0,0,0,1,554,1,168,13,10,30,2,60,0,1,353,106,11.4
Jordan Phillips,9485,DI,BUF,14,3,3,,0,0,4,0,0,59.3,35.8,21.2,57.4,30.0,25.3,2,14,0,0,,36.8,7,0,4,0.0,0,3,0,1,0,2,391,390,23,231,12,124,0,1,250,139,0,9,9,0,0,19,0,0,0,
Markus Golden,9491,ED,PIT,17,4,1,100.0,0,0,25,1,0,66.0,83.5,84.8,77.6,75.3,67.7,6,5,0,0,11,6.3,1,0,0,112.5,1,5,0,1,0,21,281,274,0,0,273,1,0,7,117,143,6,15,11,1,1,16,0,11,18,11.0
