player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Mike Gesicki,47153,TE,MIA,16,20.3,0,17,60.5,66.6,48.3,0,0,13,2.4,2.4,100.0,1,0,0,142,0,0,0,701,14,573,0,0,128,159
Andrew Beck,47121,TE,DEN,16,61.0,0,10,58.8,64.7,54.7,1,0,17,16.8,16.0,97.1,3,1,0,141,0,0,0,231,17,106,0,0,124,73
Conor McDermott,11966,G,NYJ,4,99.3,0,22,62.2,66.5,59.0,0,3,68,98.6,98.6,97.8,0,3,0,140,0,0,2,141,71,72,126,0,69,13
Stephen Carlson,94365,TE,CLV,9,68.6,0,8,61.2,77.3,52.2,1,0,22,27.2,28.1,97.7,0,1,0,140,0,0,0,204,25,89,0,0,115,163
Antony Auclair,24606,TE,TB,8,80.2,0,30,38.0,58.2,46.2,1,1,29,48.3,47.7,93.1,2,3,1,138,0,0,0,172,31,65,0,0,107,167
Zach Line,8420,FB,NO,12,63.4,0,20,62.2,83.7,60.8,0,0,23,25.0,25.8,95.7,0,1,1,137,0,0,0,216,25,97,0,0,112,12
Lucas Patrick,11435,C,GB,8,100.0,0,12,48.0,75.0,37.3,0,0,75,100.0,100.0,100.0,0,0,0,137,128,0,0,137,82,82,2,0,55,7
Jared Cook,5012,TE,NO,14,27.3,1,20,75.9,44.7,41.8,0,1,8,2.3,2.7,93.7,6,1,0,137,0,0,1,502,10,375,0,0,127,148
Ted Ginn Jr.,3625,WR,NO,16,22.4,0,20,56.8,,54.8,0,0,0,0.0,0.0,,0,0,0,136,0,0,0,607,0,467,0,0,136,4
Mecole Hardman Jr.,42683,WR,KC,16,28.7,1,16,69.1,,62.5,0,0,0,0.0,0.0,,1,0,0,135,0,0,0,471,0,332,0,0,135,6
Tavon Austin,7789,WR,DAL,14,44.1,0,9,59.9,65.3,54.7,0,0,1,0.7,0.6,100.0,3,0,0,134,0,0,0,304,1,165,0,0,133,5
Hunter Renfrow,47509,WR,OAK,13,30.8,1,23,75.5,67.0,61.8,0,0,2,0.7,0.7,100.0,3,0,0,134,0,0,0,435,2,303,0,0,132,0
Keith Smith,9302,FB,ATL,16,67.9,0,2,58.2,48.5,56.9,1,1,17,23.9,23.7,94.1,0,2,0,133,0,0,0,196,18,76,0,0,115,4
Jake Kumerow,9883,WR,GB,14,40.5,0,12,63.4,62.3,88.1,0,0,1,0.5,0.5,100.0,2,0,0,133,0,0,0,328,1,196,0,0,132,7
