,player,team_name,position,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,Team,Year,weighted_grade,weighted_average_grade
116,Jeromey Clary,SD,T,100.0,2,27,57.8,56.1,63.6,7,42,618,100.0,100.0,94.9,11,56,7,1089,0,0,0,1089,656,656,0,1086,433,3,Chargers,2011,62944.2,
117,D'Brickashaw Ferguson,NYJ,T,99.9,0,22,77.0,79.1,66.3,7,22,601,99.8,99.8,96.3,3,37,8,1087,0,0,1081,1088,646,647,0,0,441,7,Jets,2011,83776.0,
118,Wayne Hunter,NYJ,T,100.0,0,22,59.8,53.5,71.8,11,32,602,100.0,100.0,94.6,11,54,11,1082,0,0,0,1082,647,647,0,1078,435,4,Jets,2011,64703.6,
119,Joe Staley,SF,T,99.7,0,28,77.9,71.1,82.3,5,25,554,99.5,99.5,96.0,7,37,7,1073,0,0,1044,1076,586,589,0,0,487,32,49ers,2011,83820.40000000001,
120,Jared Veldheer,OAK,T,99.8,1,23,80.5,73.4,81.0,3,28,559,99.6,99.7,96.5,11,35,4,1071,0,0,1049,1073,601,603,0,2,470,22,Raiders,2011,86376.5,
121,Joe Thomas,CLV,T,100.0,1,8,77.3,86.9,61.6,3,16,651,100.0,100.0,98.1,8,22,3,1063,0,0,1059,1063,689,689,0,0,374,4,Browns,2011,82169.9,
122,Todd Herremans,PHI,T,99.8,0,24,76.7,65.3,85.3,9,37,644,99.7,99.7,95.8,7,50,4,1061,0,0,74,1063,679,681,0,974,382,15,Eagles,2011,81532.1,
123,Barry Richardson,KC,T,100.0,1,16,54.4,55.0,55.7,6,36,552,100.0,100.0,94.7,9,50,8,1053,0,0,8,1053,580,580,0,1045,473,0,Chiefs,2011,57283.2,
124,Doug Free,DAL,T,99.9,0,9,70.0,67.3,70.1,5,34,615,99.8,99.8,95.2,10,49,10,1045,0,0,1035,1046,640,641,0,0,405,11,Cowboys,2011,73220.0,
125,Erik Pears,BUF,T,100.0,0,4,64.5,69.7,57.9,4,27,624,100.0,100.0,96.9,7,35,4,1041,0,0,0,1041,665,665,0,1041,376,0,Bills,2011,67144.5,
